First Name,Last Name,Username,Group,DOB,Address,City,State,Zip,Phone1,Phone2,Password
Tia,Li,flitia,supervisor,2/1/1977,28 West First Blvd.,Los Angeles,ID,16849,969-472-0839,917-142-5911,ta3989IL
Theodore,Burton,tburto,supervisor,8/18/1989,36 West Nobel Street,Madison,RI,18134,239-232-6396,838-118-7776,te3981NB
Lawrence,Cordova,tcordo,newhire,3/23/1974,236 East Rocky New Drive,Fresno,NH,34906,039-784-0314,538-438-5386,lw3781AC
Gina,Davies,ldavie,manager,12/29/1987,988 Rocky Oak Avenue,Miami,TN,26506,612-436-3061,712-938-6030,gn3029SD
Jesse,Adkins,gadkin,manager,9/18/1989,773 Rocky Fabien Road,Jackson,CT,19026,728-918-2400,311-396-2113,js3244SA
Garry,Mcintyre,jmcint,manager,7/22/1981,987 Fabien Way,Buffalo,DE,15103,273-928-2976,359-785-4727,gr3030EM
Susan,Mcdaniel,gmcdan,manager,10/12/1977,659 Lakeridge Freeway,Columbus,SD,34695,467-777-5861,573-259-7092,ss3358LM
Bryan,Bruce,sbruce,newhire,8/22/1960,20 North Duck Road,Fort Worth,IN,21592,755-282-9876,584-814-2972,by3997EB
Marcella,Hays,bhaysm,manager,1/13/1944,579 First Street,Omaha,NV,25769,534-634-2654,933-638-3729,mr3438SH
Bryan,French,mfrenc,manager,8/5/1984,85 South Rocky Crabapple Blvd.,Washington,MA,16398,944-386-5481,922-738-4304,by3932HF
Levi,Riddle,briddl,manager,3/25/1989,468 West Old Drive,New York,KY,31277,571-501-6600,472-895-7105,lv3549ER
Keisha,Spears,lspear,newhire,2/12/1991,35 South Rocky Nobel Freeway,Cleveland,TN,26988,592-910-3768,689-993-7709,ki3982SS
Courtney,Leblanc,klebla,intern,8/17/1950,729 Green Cowley Drive,Memphis,PA,15544,389-375-6502,421-102-2947,cu3288CL
Derek,Baird,cbaird,supervisor,8/13/1969,348 East Oak Road,Tacoma,ND,15192,718-348-6958,592-524-3664,dr3669DB
Ivan,Marquez,dmarqu,manager,12/3/2000,876 Rocky Second Street,Arlington,IN,29844,058-145-0245,683-775-7621,ia3141ZM
